161322597 0386544351896 0042
296411327 6945080785634 2301
164726383 4090941067228 5553
575768002 4862349192103 5643
483535208 6007251611732 4649
050291308 8263754667453 9141
207152670 3984356804116 9532
427053180 1466959270421 5338
316700885 9726131532544 4920
138359697 3286515244210 7400
476953136 0921567802830 4214
213420370 6459362591178 0546
707112133 5304228586940 4566
593853272 5106440237416 1809
006681642 0931321474358 5527
354677845 6123029591031 6482
568507814 3940252693160 2147
753094806 9142143853126 5620
533242601 4438760216951 8759
264592196 3010534254087 6378
021830577 2414899401263 3665
376709462 8690530254415 1238
571926239 6385240431416 8070
